Synonymous Differences,,,,,,,,
,JBMKRW010000003_1:1535313-1536614:0-1302+_JBMKRW010000003.1:1535313-1536614:0-1302+,JAYKYG010000003_1:16227-17528:0-1302-_JAYKYG010000003.1:16227-17528:0-1302-,SZYF01000003_1:16380-17679:10-1300-_SZYF01000003.1:16380-17679:10-1300-,JAVCZP010000005_1:23833-25134:0-1302-_JAVCZP010000005.1:23833-25134:0-1302-,JBMKPN010000003_1:1667760-1669060:245-1301+_JBMKPN010000003.1:1667760-1669060:245-1301+,JBMKPN010000003_1:1667760-1669060:0-315+_JBMKPN010000003.1:1667760-1669060:0-315+,JBMKPM010000003_1:1667794-1668404:0-606+_JBMKPM010000003.1:1667794-1668404:0-606+,JBMKPO010000003_1:1668291-1669623:1203-1293+_JBMKPO010000003.1:1668291-1669623:1203-1293+
,JBMKRW010000003_1:1535313-1536614:0-1302+_JBMKRW010000003.1:1535313-1536614:0-1302+,JAYKYG010000003_1:16227-17528:0-1302-_JAYKYG010000003.1:16227-17528:0-1302-,SZYF01000003_1:16380-17679:10-1300-_SZYF01000003.1:16380-17679:10-1300-,JAVCZP010000005_1:23833-25134:0-1302-_JAVCZP010000005.1:23833-25134:0-1302-,JBMKPN010000003_1:1667760-1669060:245-1301+_JBMKPN010000003.1:1667760-1669060:245-1301+,JBMKPN010000003_1:1667760-1669060:0-315+_JBMKPN010000003.1:1667760-1669060:0-315+,JBMKPM010000003_1:1667794-1668404:0-606+_JBMKPM010000003.1:1667794-1668404:0-606+,JBMKPO010000003_1:1668291-1669623:1203-1293+_JBMKPO010000003.1:1668291-1669623:1203-1293+
JBMKRW010000003_1:1535313-1536614:0-1302+_JBMKRW010000003.1:1535313-1536614:0-1302+,0,0,0,16,2,7,0,1
JAYKYG010000003_1:16227-17528:0-1302-_JAYKYG010000003.1:16227-17528:0-1302-,0,0,0,16,2,7,0,1
SZYF01000003_1:16380-17679:10-1300-_SZYF01000003.1:16380-17679:10-1300-,0,0,0,16,2,7,0,1
JAVCZP010000005_1:23833-25134:0-1302-_JAVCZP010000005.1:23833-25134:0-1302-,16,16,16,0,17,8,3,4
JBMKPN010000003_1:1667760-1669060:245-1301+_JBMKPN010000003.1:1667760-1669060:245-1301+,2,2,2,17,0,9,2,1
JBMKPN010000003_1:1667760-1669060:0-315+_JBMKPN010000003.1:1667760-1669060:0-315+,7,7,7,8,9,0,7,0
JBMKPM010000003_1:1667794-1668404:0-606+_JBMKPM010000003.1:1667794-1668404:0-606+,0,0,0,3,2,7,0,0
JBMKPO010000003_1:1668291-1669623:1203-1293+_JBMKPO010000003.1:1668291-1669623:1203-1293+,1,1,1,4,1,0,0,0
,,,,,,,,
Omega (dN/dS),,,,,,,,
,JBMKRW010000003_1:1535313-1536614:0-1302+_JBMKRW010000003.1:1535313-1536614:0-1302+,JAYKYG010000003_1:16227-17528:0-1302-_JAYKYG010000003.1:16227-17528:0-1302-,SZYF01000003_1:16380-17679:10-1300-_SZYF01000003.1:16380-17679:10-1300-,JAVCZP010000005_1:23833-25134:0-1302-_JAVCZP010000005.1:23833-25134:0-1302-,JBMKPN010000003_1:1667760-1669060:245-1301+_JBMKPN010000003.1:1667760-1669060:245-1301+,JBMKPN010000003_1:1667760-1669060:0-315+_JBMKPN010000003.1:1667760-1669060:0-315+,JBMKPM010000003_1:1667794-1668404:0-606+_JBMKPM010000003.1:1667794-1668404:0-606+,JBMKPO010000003_1:1668291-1669623:1203-1293+_JBMKPO010000003.1:1668291-1669623:1203-1293+
JBMKRW010000003_1:1535313-1536614:0-1302+_JBMKRW010000003.1:1535313-1536614:0-1302+,,0,0,0.762,2,0.875,0,Inf
JAYKYG010000003_1:16227-17528:0-1302-_JAYKYG010000003.1:16227-17528:0-1302-,0,,0,0.762,2,0.875,0,Inf
SZYF01000003_1:16380-17679:10-1300-_SZYF01000003.1:16380-17679:10-1300-,0,0,,0.8,2,0.875,0,Inf
JAVCZP010000005_1:23833-25134:0-1302-_JAVCZP010000005.1:23833-25134:0-1302-,0.762,0.762,0.8,,0.895,0.727,0.429,4
JBMKPN010000003_1:1667760-1669060:245-1301+_JBMKPN010000003.1:1667760-1669060:245-1301+,2,2,2,0.895,,1,2,Inf
JBMKPN010000003_1:1667760-1669060:0-315+_JBMKPN010000003.1:1667760-1669060:0-315+,0.875,0.875,0.875,0.727,1,,0.875,0
JBMKPM010000003_1:1667794-1668404:0-606+_JBMKPM010000003.1:1667794-1668404:0-606+,0,0,0,0.429,2,0.875,,0
JBMKPO010000003_1:1668291-1669623:1203-1293+_JBMKPO010000003.1:1668291-1669623:1203-1293+,Inf,Inf,Inf,4,Inf,0,0,
